desig ,User Pedon ID                 ,Top Depth,Bottom Depth
Btg1        ,2020ND083130                  ,30,130
Btg2        ,2020ND083130                  ,0,30
Btg2        ,2020ND093102                  ,0,65
Btg1        ,2020ND093102                  ,0,65
Btg2        ,2020ND095013                  ,40,100
Btg1        ,2020ND095013                  ,40,100
A2          ,2020ND101020                  ,0,150
Btg2        ,2020ND101020                  ,51,150
Btg1        ,2020ND101020                  ,51,150
A1          ,2020ND101020                  ,0,150
Cg          ,2020ND101032                  ,0,100
A1          ,2020ND101053                  ,105,130
A2          ,2020ND101053                  ,0,130
Cg          ,2020ND101053                  ,105,130
Cg          ,2020ND101172                  ,0,98
Cg          ,2021ND063102                  ,0,53
Btg1        ,2021ND071001                  ,0,60
Btg2        ,2021ND071001                  ,0,60
Btg1        ,2021ND093007                  ,70,110
Btg2        ,2021ND093007                  ,0,110
A1          ,2021ND093007                  ,70,110
A2          ,2021ND093007                  ,70,110
Btg1        ,2021ND099022                  ,0,130
Btg2        ,2021ND099022                  ,0,130
Cg          ,2021ND099180                  ,40,64
Cg          ,2021ND099220                  ,36,90
A2          ,2021ND099272                  ,0,82
A1          ,2021ND099272                  ,0,82
Btg2        ,2021ND101002                  ,0,100
Btg1        ,2021ND101002                  ,0,76
A1          ,56ND081004                    ,0,140
A2          ,56ND081004                    ,0,140
A1          ,56ND081008                    ,0,51
A2          ,56ND081008                    ,0,51
Cg          ,56ND081008                    ,0,51
Cg          ,85ND005511                    ,33,117
Btg1        ,85ND005512                    ,19,0
Btg2        ,85ND005512                    ,64,213
A2          ,88ND053073                    ,18,114
A1          ,88ND053073                    ,18,114
Btg1        ,C0707P05-2                    ,20,90
A1          ,C0707P05-2                    ,0,60
Btg2        ,C0707P05-2                    ,0,60
A2          ,C0707P05-2                    ,20,90
Btg2        ,C0707P05-3                    ,0,20
A1          ,C0707P05-3                    ,20,85
Btg1        ,C0707P05-3                    ,0,20
A2          ,C0707P05-3                    ,0,20
Btg1        ,C0707P05-5                    ,         ,            
A2          ,C0707P05-5                    ,         ,            
A1          ,C0707P05-5                    ,0,31
Btg2        ,C0707P05-5                    ,0,31
A1          ,C0707W05-4                    ,         ,            
A2          ,C0707W05-4                    ,         ,            
A1          ,C0707W05-5                    ,0,60
Cg          ,C0707W05-5                    ,0,60
A2          ,C0707W05-5                    ,60,90
Btg1        ,C0707X02-4                    ,0,51
Btg2        ,C0707X02-4                    ,0,51
A2          ,C0707X02-4                    ,0,51
A1          ,C0707X02-4                    ,0,51
A1          ,S1959ND079762                 ,38,96
A2          ,S1959ND079762                 ,0,65
A2          ,S1966MN121954                 ,56,140
A1          ,S1966MN121954                 ,0,140
Btg2        ,S1966MN121954                 ,56,140
Btg1        ,S1966MN121954                 ,56,140
BCg         ,S1966MN121954                 ,0,140
A2          ,S1971MN0831294                ,0,94
Btg1        ,S1971MN0831294                ,0,94
Btg2        ,S1971MN0831294                ,0,94
Cg          ,S1971MN0831294                ,0,94
A1          ,S1971MN0831294                ,43,137
A2          ,S1971MN1111257                ,0,152
A1          ,S1971MN1111257                ,0,152
Btg1        ,S1971MN1111257                ,0,152
Btg2        ,S1971MN1111257                ,0,152
BCg         ,S1971MN1111257                ,0,152
Btg1        ,S1993MN111001                 ,0,97
A2          ,S1993MN111001                 ,70,200
A1          ,S1993MN111001                 ,70,200
Btg2        ,S1993MN111001                 ,70,200
A2          ,S1993MN111002                 ,67,102
Btg2        ,S1993MN111002                 ,67,102
