desig,User Pedon ID                 ,Top Depth,Bottom Depth
Btz,2020ND023142                  ,37,64
Apz,2020ND023142                  ,0,20
A2,2020ND023162                  ,25,45
A1,2020ND023162                  ,0,25
Bt,2020ND023162                  ,45,60
Btg,2020ND023162                  ,60,100
A,2020ND023170                  ,0,50
Bt1,2020ND023170                  ,50,68
Bt2,2020ND023170                  ,68,90
Bt3,2020ND023170                  ,90,110
Btg,2020ND023180                  ,55,100
Oa,2020ND023180                  ,0,15
A,2020ND023180                  ,15,30
Bt,2020ND023180                  ,30,55
Btg2,2020ND023232                  ,45,100
A2,2020ND023232                  ,14,28
Btg1,2020ND023232                  ,28,45
A1,2020ND023232                  ,7,14
Oi,2020ND023232                  ,0,7
Oa,2020ND045020                  ,0,10
Btg2,2020ND045020                  ,53,105
Btg1,2020ND045020                  ,35,53
A,2020ND045020                  ,10,35
Btg,2020ND045021                  ,23,75
Btkg,2020ND045021                  ,75,105
A,2020ND045021                  ,0,23
Btg,2020ND047060                  ,23,54
A,2020ND047060                  ,0,23
Bg,2020ND047060                  ,54,110
A,2020ND047062                  ,6,40
Oa,2020ND047062                  ,0,6
Cg,2020ND047062                  ,78,110
Btg,2020ND047062                  ,40,78
Bt,2020ND055012                  ,20,115
A,2020ND055012                  ,0,20
Bt2,2020ND055022                  ,35,70
Bt3,2020ND055022                  ,70,100
A,2020ND055022                  ,0,15
Bt1,2020ND055022                  ,15,35
Btkg,2020ND055030                  ,110,150
A2,2020ND055030                  ,30,40
Btg2,2020ND055030                  ,60,110
A1,2020ND055030                  ,0,30
Btg1,2020ND055030                  ,40,60
Bt1,2020ND055052                  ,45,60
Bt2,2020ND055052                  ,60,100
A,2020ND055052                  ,0,45
Btg,2020ND055090                  ,85,120
A,2020ND055090                  ,14,55
Bt,2020ND055090                  ,55,85
Oa,2020ND055090                  ,0,14
Bt1,2020ND055092                  ,22,42
C,2020ND055092                  ,80,100
Oa,2020ND055092                  ,0,10
Bt3,2020ND055092                  ,65,80
Bt2,2020ND055092                  ,42,65
A,2020ND055092                  ,10,22
A,2020ND055112                  ,0,29
Bt,2020ND055112                  ,29,45
Bg1,2020ND055112                  ,45,80
Bg2,2020ND055112                  ,80,100
Bt1,2020ND055120                  ,17,80
C,2020ND055120                  ,115,200
A,2020ND055120                  ,3,17
Oa,2020ND055120                  ,0,3
Bt2,2020ND055120                  ,80,115
Oi,2020ND055121                  ,0,3
A,2020ND055121                  ,6,29
Oa,2020ND055121                  ,3,6
Btg2,2020ND055121                  ,40,96
Btg1,2020ND055121                  ,29,40
Bg,2020ND055121                  ,96,150
A,2020ND055122                  ,0,12
BCg,2020ND055122                  ,90,100
Btg,2020ND055122                  ,21,90
Bg,2020ND055122                  ,12,21
Bt1,2020ND055130                  ,34,60
A,2020ND055130                  ,26,34
BC,2020ND055130                  ,90,120
Bt2,2020ND055130                  ,60,90
Oa,2020ND055130                  ,0,26
Btg1,2020ND055131                  ,51,109
Oa,2020ND055131                  ,0,5
Btg2,2020ND055131                  ,109,150
A2,2020ND055131                  ,20,51
A1,2020ND055131                  ,5,20
A,2020ND055140                  ,32,50
Oi,2020ND055140                  ,0,32
Bt3,2020ND055140                  ,105,120
Bt1,2020ND055140                  ,50,70
Bt2,2020ND055140                  ,70,105
Btg,2020ND055141                  ,35,70
C,2020ND055141                  ,100,120
A,2020ND055141                  ,14,35
Oa,2020ND055141                  ,0,14
Bt,2020ND055141                  ,70,100
A2,2020ND061020                  ,22,50
Oe,2020ND061020                  ,0,5
Bt,2020ND061020                  ,50,70
Cg,2020ND061020                  ,70,100
A1,2020ND061020                  ,5,22
Cg,2020ND061042                  ,98,120
A,2020ND061042                  ,0,21
Btg,2020ND061042                  ,21,98
A3,2020ND061130                  ,28,60
A2,2020ND061130                  ,10,28
Btg,2020ND061130                  ,60,165
